YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
2001	MO	70259930	9284943	79544873	
1991	ID	123963	9304656	9428619	
2014	CO	44508589.19	9338796.72	53847385.91	
2005	MO	81471678	9356552	90828230	
2002	ID	419726	9367207	9786933	
1991	NH	4760228	9461113	14221341	
2002	KS	37667319	9521127	47188446	
1992	MO	47418092	9533581	56951673	
2004	MO	78084567	9548343	87632910	
2012	OK	68337001.87	9559586.24	77896588.11	
2002	MT	15824166	9649539	25473705	
2002	MO	71508300	9653898	81162198	
2003	OH	136972874	9665254	146638128	
2011	NE	26428344.51	9666706.49	36095051	
2005	MT	18265153	9673625	27938778	
2000	MT	16747337	9704491	26451828	
1993	MT	14139847	9733007	23872854	
2007	ID	1740953	9743138	11484091	
2005	NE	21652159	9812575	31464734	
1992	NE	12595149	9830349	22425498	
1993	MS	16085401	9856125	25941526	
2013	NE	27246307.03	9858320.74	37104627.77	
1999	MS	24979789	9865183	34844972	
2001	NE	20615626	9869586	30485212	
1995	MS	19083902	9896959	28980861	
1998	NE	18837561	9959230	28796791	
2007	MT	18941426	9990067	28931493	
1995	KS	28347288	10073417	38420705	
2008	NE	22272915	10100607	32373522	
1995	MO	55600121	10120837	65720958	
2000	NE	18963946	10145917	29109863	
1992	MS	12985175	10149788	23134963	
1996	MO	57957624	10164904	68122528	
2008	ID	1790122	10180431	11970553	
2006	NE	21460666	10209303	31669969	
2003	MO	76993048	10232039	87225087	
2010	ID	1777584	10246980	12024564	
2008	KS	36363175	10267146	46630321	
2009	NE	23684230	10317662	34001892	
1993	ID	196467	10336966	10533433	
2006	KS	35171928	10351808	45523736	
2008	IA	42734425	10352361	53086786	
1999	MO	63427278	10388432	73815710	
2001	KS	34336478	10412045	44748523	
1998	KS	31163085	10422143	41585228	
2006	MO	81240055	10446288	91686343	
2000	NH	4575747	10455752	15031499	
1992	NH	4657362	10459891	15117253	
2000	MO	66111416	10482523	76593939	
1997	MO	60888212	10485973	71374185	
2004	KS	36278743	10503916	46782659	
2009	MT	16179474	10533261	26712735	
1998	MS	23781737	10627319	34409056	
2006	MT	17571784	10671752	28243536	
1997	NH	5193941	10686282	15880223	
1993	OH	124513366	10723926	135237292	
2010	MT	19066247	10724934	29791181	
2001	NH	4306602	10768022	15074624	
1995	NH	4633548	10800831	15434379	
1995	MT	15150939	10810375	25961314	
2008	MT	18816341	10820796	29637137	
2008	MS	37367110	10838601	48205711	
1996	MS	20429029	10848253	31277282	
1998	MO	64312807	10874539	75187346	
2007	MS	39141868	10901818	50043686	
2012	NH	8339070.7	10925364.22	19264434.92	
1997	NE	17490997	10958270	28449267	
1991	MS	14905389	10971227	25876616	
2007	MO	80123934	11029147	91153081	
2002	MS	31854842	11033970	42888812	
1991	MO	49423838	11050888	60474726	
2013	MO	80569920.73	11056672.2	91626592.93	
1996	NE	16280842	11070267	27351109	
1998	NH	4990228	11098625	16088853	
2011	KS	34247475.12	11112365	45359840.12	
2011	NH	8943278.37	11122662.63	20065941	
2010	MS	43329419	11157841	54487260	
1998	MT	17267293	11193225	28460518	
1999	NH	4974731	11214516	16189247	
2004	NE	20776343	11232366	32008709	
2002	NE	20377594	11240900	31618494	
2014	MO	76560161.84	11274306.37	87834468.21	
2001	MS	42090307	11356145	53446452	
2002	NH	4592464	11360614	15953078	
2009	ID	1726201	11373951	13100152	
1994	MS	17294513	11375985	28670498	
1991	MD	28431640	11419244	39850884	
2003	NH	10133295	11463812	21597107	
1993	MO	42059212	11493757	53552969	
2007	KS	38590021	11532175	50122196	
2000	ID	376676	11533766	11910442	
2005	MS	33440798	11626655	45067453	
1995	ID	215383	11629222	11844605	
2009	KS	35032695	11644613	46677308	
1993	NH	4579317	11663443	16242760	
2007	NE	20775698	11667001	32442699	
2013	ID	3483565.97	11702562.24	15186128.21	
2013	MT	15956828.94	11730497.37	27687326.31	
2006	NH	10331232	11732463	22063695	
2009	NH	8411106	11753016	20164122	
2014	MS	43362616.15	11764475.51	55127091.66	
2004	MS	31873112	11789501	43662613	
1994	OH	119965637	11797973	131763610	
1999	NE	18229427	11826324	30055751	
2011	MS	39725060.46	11845882.18	51570942.64	
1994	MO	50020136	11857542	61877678	
2011	MO	82943884.05	11932512.65	94876396.7	
2003	MS	28191692	11956586	40148278	
2002	OH	135108839	11960011	147068850	
2006	ID	1380841	12005244	13386085	
2006	MS	34209891	12018956	46228847	
1991	MT	16484518	12068630	28553148	
1996	NJ	25607288	12109295	37716583	
2008	NH	10660402	12216590	22876992	
2008	MO	78785218	12243577	91028795	
2005	NH	12214866	12255147	24470013	
1993	TN	61626655	12257544	73884199	
2013	MS	40492165.73	12318098.16	52810263.89	
2000	MS	25239704	12374859	37614563	
1997	MS	21244881	12434071	33678952	
2004	NH	11436292	12439495	23875787	
1998	WI	43999763	12447668	56447431	
2010	MO	79862990	12449999	92312989	
2009	MS	36241562	12459922	48701484	
2014	ID	2630209.99	12554206.51	15184416.5	
1996	ME	2173606	12760767	14934373	
2012	MO	79019935.74	12784384.86	91804320.6	
1996	NH	4207538	12856111	17063649	
2010	NE	23768660	12861346	36630006	
2012	MT	14918362.69	12886420.93	27804783.62	
1992	ME	2771613	12911931	15683544	
2005	WI	48862617	12962047	61824664	
2010	KS	34895486	13028276	47923762	
1997	MN	30211856	13028439	43240295	
1993	ME	2422139	13192133	15614272	
2007	NH	10066225	13210946	23277171	
2009	IA	38620904	13239159	51860063	
2009	MO	75114990	13239282	88354272	
1992	MN	26995812	13263072	40258884	
1997	MT	15101262	13485684	28586946	
1992	MD	27677523	13499836	41177359	
1998	ID	385897	13522776	13908673	
2012	ID	1974923.44	13524165.87	15499089.31	
2012	KS	30876714.42	13547976.35	44424690.77	
2014	NH	5986740.01	13551654.97	19538394.98	
2014	OK	56559920.1	13595584.2	70155504.3	
2013	OK	60065657.36	13608022.9	73673680.26	
2010	NH	8519160	13676752	22195912	
2014	MT	16523238.2	13734377.88	30257616.08	
1991	CT	13198507	13837960	27036467	
1996	MT	12962703	13874722	26837425	
1996	ID	199196	13890612	14089808	
1994	ME	2558525	13897625	16456150	
1999	MT	17516720	13902614	31419334	
1996	WI	40475433	13942304	54417737	
1998	MN	34070180	13947725	48017905	
1991	MN	28171450	13960660	42132110	
1999	ID	383741	14052907	14436648	
2014	NE	25370547.5	14060743.24	39431290.74	
2013	NH	5668215.37	14110305.08	19778520.45	
2011	MT	15934541.04	14194001.53	30128542.57	
1993	MN	29802959	14237676	44040635	
1994	MD	31072026	14267592	45339618	
1991	ME	3059270	14285513	17344783	
1991	WI	35032842	14323895	49356737	
1995	WI	39487202	14435929	53923131	
1996	MN	29861018	14467421	44328439	
1994	MN	29390260	14507395	43897655	
1992	WI	34368783	14524618	48893401	
2000	WI	44987855	14656562	59644417	
1999	WI	43881656	14657198	58538854	
2010	IA	42749429	14759292	57508721	
2001	WI	43935204	14828227	58763431	
1994	WI	37513337	14845618	52358955	
2001	MN	33643796	14879430	48523226	
1993	MD	30064073	14913815	44977888	
1993	WI	35298177	14940375	50238552	
2002	MD	33208916	15070172	48279088	
1996	OH	129355084	15082130	144437214	
2004	WI	45349157	15095776	60444933	
1997	NJ	26654181	15102080	41756261	
1997	ID	352196	15236814	15589010	
1999	CT	13355975	15240923	28596898	
2014	WI	45821798.58	15242997.1	61064795.68	
2006	WI	46352158	15287685	61639843	
2011	ID	1194181.68	15374604.22	16568785.9	
2003	WI	44668394	15454031	60122425	
1992	LA	57883263	15490861	73374124	
1995	MN	29589172	15581712	45170884	
1999	MD	36103636	15581985	51685621	
2008	WI	47880609	15598946	63479555	
2000	AR	28251936	15623830	43875766	
1991	OH	118294663	15741834	134036497	
1995	MD	30623609	15742034	46365643	
1998	MI	84729498	15747896	100477394	
1992	OH	121848306	15813422	137661728	
1996	MD	30451659	15822958	46274617	
2007	WI	47530414	15860216	63390630	
2001	MD	33161860	15900480	49062340	
1998	MD	34739673	15913344	50653017	
2000	MN	35487886	15935453	51423339	
2005	OH	140911619	16064704	156976323	
1997	MD	30598520	16108876	46707396	
2004	MN	36241242	16122885	52364127	
2002	WI	42306475	16124963	58431438	
1992	AR	23572900	16173201	39746101	
1999	MN	32315544	16203835	48519379	
2013	AR	44070298.56	16252193.58	60322492.14	
2009	OH	119674196	16416029	136090225	
