"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through July 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,DE,"Electric Generators, Independent Power Producers",Total,412310
2016,1,DE,"Electric Generators, Independent Power Producers",Coal,130283
2016,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,254783
2016,1,DE,"Electric Generators, Independent Power Producers",Petroleum,19422
2016,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2594
2016,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,5227
2016,1,DE,"Electric Generators, Electric Utilities",Total,3868
2016,1,DE,"Electric Generators, Electric Utilities",Natural Gas,3204
2016,1,DE,"Electric Generators, Electric Utilities",Petroleum,283
2016,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,382
2016,1,FL,Total Electric Power Industry,Total,17998923
2016,1,FL,Total Electric Power Industry,Coal,2557023
2016,1,FL,Total Electric Power Industry,Hydroelectric Conventional,27284
2016,1,FL,Total Electric Power Industry,Natural Gas,11776826
2016,1,FL,Total Electric Power Industry,Nuclear,2748710
2016,1,FL,Total Electric Power Industry,Other Gases,337
2016,1,FL,Total Electric Power Industry,Other,265399
2016,1,FL,Total Electric Power Industry,Petroleum,225324
2016,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,10631
2016,1,FL,Total Electric Power Industry,Other Biomass,223479
2016,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,163910
2016,1,FL,"Combined Heat and Power, Industrial Power",Total,443188
2016,1,FL,"Combined Heat and Power, Industrial Power",Coal,22724
2016,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,124153
2016,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,337
2016,1,FL,"Combined Heat and Power, Industrial Power",Other,128645
2016,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,3196
2016,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,28408
2016,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,135723
2016,1,FL,"Combined Heat and Power, Commercial Power",Total,6016
2016,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,2766
2016,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2016,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,101
2016,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,3149
2016,1,FL,"Combined Heat and Power, Electric Power",Total,341757
2016,1,FL,"Combined Heat and Power, Electric Power",Coal,0
2016,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,322371
2016,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,14009
2016,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,5377
2016,1,FL,"Electric Generators, Independent Power Producers",Total,550557
2016,1,FL,"Electric Generators, Independent Power Producers",Coal,0
2016,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,259158
2016,1,FL,"Electric Generators, Independent Power Producers",Other,113820
2016,1,FL,"Electric Generators, Independent Power Producers",Petroleum,518
2016,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,4253
2016,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,149997
2016,1,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,22810
2016,1,FL,"Electric Generators, Electric Utilities",Total,16657405
2016,1,FL,"Electric Generators, Electric Utilities",Coal,2534299
2016,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,27284
2016,1,FL,"Electric Generators, Electric Utilities",Natural Gas,11068377
2016,1,FL,"Electric Generators, Electric Utilities",Nuclear,2748710
2016,1,FL,"Electric Generators, Electric Utilities",Other,22934
2016,1,FL,"Electric Generators, Electric Utilities",Petroleum,221609
2016,1,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,6277
2016,1,FL,"Electric Generators, Electric Utilities",Other Biomass,27915
2016,1,GA,Total Electric Power Industry,Total,11295673
2016,1,GA,Total Electric Power Industry,Coal,2970103
2016,1,GA,Total Electric Power Industry,Pumped Storage,47023
2016,1,GA,Total Electric Power Industry,Hydroelectric Conventional,574190
2016,1,GA,Total Electric Power Industry,Natural Gas,4190792
2016,1,GA,Total Electric Power Industry,Nuclear,3041538
2016,1,GA,Total Electric Power Industry,Other,10724
2016,1,GA,Total Electric Power Industry,Petroleum,45773
2016,1,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,29417
2016,1,GA,Total Electric Power Industry,Other Biomass,34834
2016,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,351280
2016,1,GA,"Combined Heat and Power, Industrial Power",Total,416187
2016,1,GA,"Combined Heat and Power, Industrial Power",Coal,20700
2016,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,2152
2016,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,39591
2016,1,GA,"Combined Heat and Power, Industrial Power",Other,10724
2016,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,16715
2016,1,GA,"Combined Heat and Power, Industrial Power",Other Biomass,22367
2016,1,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,303938
2016,1,GA,"Combined Heat and Power, Commercial Power",Total,1151
2016,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2016,1,GA,"Combined Heat and Power, Commercial Power",Petroleum,284
2016,1,GA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,186
2016,1,GA,"Combined Heat and Power, Commercial Power",Other Biomass,681
2016,1,GA,"Combined Heat and Power, Electric Power",Total,22629
2016,1,GA,"Combined Heat and Power, Electric Power",Natural Gas,18029
2016,1,GA,"Combined Heat and Power, Electric Power",Petroleum,3743
